X,Y,temperatura
-9879604.808,16038305.76,-36.8
-9823945.063,16038305.76,-37.2
-9768285.317,16038305.76,-36.6
-9712625.572,16038305.76,-36.3
-9656965.826,16038305.76,-37.2
-9601306.081,16038305.76,-39.2
-9545646.336,16038305.76,-37.4
-9489986.59,16038305.76,-36.8
-9434326.845,16038305.76,-36.2
-9378667.099,16038305.76,-36.2
-9323007.354,16038305.76,-36.7
-9267347.609,16038305.76,-36.1
-9211687.863,16038305.76,-32.1
-9156028.118,16038305.76,-32.5
-9100368.372,16038305.76,-31.9
-9044708.627,16038305.76,-36.8
-8989048.882,16038305.76,-32.8
-8933389.136,16038305.76,-33.1
-8877729.391,16038305.76,-33.5
-8822069.645,16038305.76,-33
-8766409.9,16038305.76,-32.4
-8710750.155,16038305.76,-32.4
-8655090.409,16038305.76,-32
-8599430.664,16038305.76,-35.5
-8543770.918,16038305.76,-35.5
-8488111.173,16038305.76,-35.4
-8432451.428,16038305.76,-35.6
-8376791.682,16038305.76,-35.2
-8321131.937,16038305.76,-35.4
-8265472.191,16038305.76,-35.5
-8209812.446,16038305.76,-35.6
-8154152.701,16038305.76,-35.3
-8098492.955,16038305.76,-35.2
-8042833.21,16038305.76,-35
-7987173.464,16038305.76,-34.6
-7931513.719,16038305.76,-31.8
-7875853.974,16038305.76,-34.2
-7820194.228,16038305.76,-34.3
-7764534.483,16038305.76,-34.1
-7708874.737,16038305.76,-33.9
-7653214.992,16038305.76,-32
-7597555.247,16038305.76,-32.4
-7541895.501,16038305.76,-34
-7486235.756,16038305.76,-32.7
-7430576.01,16038305.76,-32.8
-7374916.265,16038305.76,-33
-7319256.52,16038305.76,-33.2
-7263596.774,16038305.76,-33.5
-7207937.029,16038305.76,-32.3
-7152277.283,16038305.76,-32.2
-7096617.538,16038305.76,-32.4
-7040957.793,16038305.76,-32.4
-6985298.047,16038305.76,-32.4
-6929638.302,16038305.76,-32.5
-6873978.556,16038305.76,-32.5
-6818318.811,16038305.76,-32.5
-6762659.066,16038305.76,-33.4
-6706999.32,16038305.76,-33.1
-6651339.575,16038305.76,-32.5
-6595679.83,16038305.76,-32.6
-6540020.084,16038305.76,-33
-6484360.339,16038305.76,-33.3
-6428700.593,16038305.76,-32.9
-6373040.848,16038305.76,-33
